Orthogroup	Syal	Praq
OG0000544	Syal.g_02932	Praq.g_01094
OG0000545	Syal.g_02934	Praq.g_01092
OG0000546	Syal.g_02936	Praq.g_01089
OG0000547	Syal.g_02938	Praq.g_01087
OG0000548	Syal.g_02939	Praq.g_01086
OG0000549	Syal.g_02945	Praq.g_01084
OG0000550	Syal.g_02949	Praq.g_01079
OG0000551	Syal.g_02953	Praq.g_01075
OG0000552	Syal.g_02954	Praq.g_01074
OG0000553	Syal.g_02843	Praq.g_01073
OG0000554	Syal.g_02837	Praq.g_01068
OG0000555	Syal.g_02823	Praq.g_01060
OG0000556	Syal.g_02819	Praq.g_01058
OG0000557	Syal.g_02816	Praq.g_01057
OG0000558	Syal.g_02814	Praq.g_01055
OG0000559	Syal.g_02305, Syal.g_02810	Praq.g_01051
OG0000560	Syal.g_02807	Praq.g_01048
OG0000561	Syal.g_02806	Praq.g_01047
OG0000562	Syal.g_02805	Praq.g_01046
OG0000563	Syal.g_02804	Praq.g_01045
OG0000564	Syal.g_02803	Praq.g_01044
OG0000565	Syal.g_02799	Praq.g_01041
OG0000566	Syal.g_02795	Praq.g_01039
OG0000567	Syal.g_02791	Praq.g_01035
OG0000568	Syal.g_02789	Praq.g_01034
OG0000569	Syal.g_02788	Praq.g_01033
OG0000570	Syal.g_02787	Praq.g_01032
OG0000571	Syal.g_02784	Praq.g_01030
OG0000572	Syal.g_02767	Praq.g_01017
OG0000573	Syal.g_02759	Praq.g_01010
OG0000574	Syal.g_02758	Praq.g_01009
OG0000575	Syal.g_02753	Praq.g_01005
OG0000576	Syal.g_02751	Praq.g_01003
OG0000577	Syal.g_02750	Praq.g_01002
OG0000578	Syal.g_02749	Praq.g_01001
OG0000579	Syal.g_02748	Praq.g_01000
OG0000580	Syal.g_02747	Praq.g_00999
OG0000581	Syal.g_02741	Praq.g_00997
OG0000582	Syal.g_02736	Praq.g_00994
OG0000583	Syal.g_02735	Praq.g_00993
OG0000584	Syal.g_02734	Praq.g_00992
OG0000585	Syal.g_02731	Praq.g_00990
OG0000586	Syal.g_02730	Praq.g_00989
OG0000587	Syal.g_02728	Praq.g_00988
OG0000588	Syal.g_02717	Praq.g_00984
OG0000589	Syal.g_02714	Praq.g_00981
