Orthogroup	Prbb	Syaa
OG0000338	Prbb.g_02032	Syaa.g_00162
OG0000339	Prbb.g_02037	Syaa.g_00156
OG0000340	Prbb.g_02046	Syaa.g_00144
OG0000341	Prbb.g_02048	Syaa.g_00142
OG0000342	Prbb.g_02049	Syaa.g_00141
OG0000343	Prbb.g_02050	Syaa.g_00140
OG0000344	Prbb.g_02053	Syaa.g_00136
OG0000345	Prbb.g_02058	Syaa.g_00127
OG0000346	Prbb.g_02062	Syaa.g_00122
OG0000347	Prbb.g_02082	Syaa.g_00088
OG0000348	Prbb.g_02104	Syaa.g_00071
OG0000349	Prbb.g_02122	Syaa.g_00053
OG0000350	Prbb.g_02143	Syaa.g_02336
OG0000351	Prbb.g_02168	Syaa.g_02730
OG0000352	Prbb.g_02169	Syaa.g_02731
OG0000353	Prbb.g_02188	Syaa.g_02757
OG0000355	Prbb.g_00001	Syaa.g_00001
OG0000356	Prbb.g_00002	Syaa.g_00002
OG0000357	Prbb.g_00003	Syaa.g_00003
OG0000358	Prbb.g_00008	Syaa.g_00007
OG0000359	Prbb.g_00009	Syaa.g_00009
OG0000360	Prbb.g_00010	Syaa.g_00010
OG0000361	Prbb.g_00011	Syaa.g_00011
OG0000362	Prbb.g_00013	Syaa.g_00013
OG0000363	Prbb.g_00015	Syaa.g_00015
OG0000364	Prbb.g_00016	Syaa.g_00016
OG0000365	Prbb.g_00021	Syaa.g_00027
OG0000366	Prbb.g_00022	Syaa.g_00028
OG0000367	Prbb.g_00023	Syaa.g_00029
OG0000368	Prbb.g_00025	Syaa.g_00031
OG0000369	Prbb.g_00026	Syaa.g_00032
OG0000370	Prbb.g_00027	Syaa.g_00033
OG0000371	Prbb.g_00033	Syaa.g_00041
OG0000372	Prbb.g_00035	Syaa.g_00046
OG0000373	Prbb.g_00036	Syaa.g_00047
OG0000374	Prbb.g_00037	Syaa.g_00048
OG0000375	Prbb.g_00055	Syaa.g_00049
OG0000376	Prbb.g_00057	Syaa.g_00051
OG0000377	Prbb.g_00060	Syaa.g_02585
OG0000378	Prbb.g_00062	Syaa.g_02577
OG0000379	Prbb.g_00065	Syaa.g_02574
OG0000380	Prbb.g_00121	Syaa.g_00357
OG0000381	Prbb.g_00125	Syaa.g_00353
OG0000382	Prbb.g_00136	Syaa.g_00335
OG0000383	Prbb.g_00138	Syaa.g_00333
OG0000384	Prbb.g_00139	Syaa.g_00332
OG0000385	Prbb.g_00140	Syaa.g_00331
OG0000386	Prbb.g_00141	Syaa.g_00330
OG0000387	Prbb.g_00154	Syaa.g_02371
