Orthogroup	Syar	Syaf
OG0000437	Syar.g_00993	Syaf.g_00766
OG0000438	Syar.g_00992	Syaf.g_00765
OG0000439	Syar.g_00990	Syaf.g_00763
OG0000440	Syar.g_00989	Syaf.g_00762
OG0000441	Syar.g_00986	Syaf.g_00756
OG0000442	Syar.g_00977	Syaf.g_00743
OG0000443	Syar.g_00964	Syaf.g_00739
OG0000444	Syar.g_00954	Syaf.g_00733
OG0000445	Syar.g_00953	Syaf.g_00729
OG0000446	Syar.g_00951	Syaf.g_00728
OG0000447	Syar.g_00948	Syaf.g_00725
OG0000448	Syar.g_00947	Syaf.g_00724
OG0000449	Syar.g_00946	Syaf.g_00723
OG0000450	Syar.g_00939	Syaf.g_00717
OG0000451	Syar.g_00938	Syaf.g_00716
OG0000452	Syar.g_00934	Syaf.g_00712
OG0000453	Syar.g_00933	Syaf.g_00711
OG0000454	Syar.g_00932	Syaf.g_00710
OG0000455	Syar.g_00931	Syaf.g_00709
OG0000456	Syar.g_00930	Syaf.g_00708
OG0000457	Syar.g_00928	Syaf.g_00706
OG0000458	Syar.g_00918	Syaf.g_00705
OG0000459	Syar.g_00917	Syaf.g_00704
OG0000460	Syar.g_03024	Syaf.g_02789
OG0000461	Syar.g_00153	Syaf.g_00183
OG0000462	Syar.g_00155	Syaf.g_00186
OG0000463	Syar.g_00156	Syaf.g_00187
OG0000464	Syar.g_00157	Syaf.g_00188
OG0000465	Syar.g_00159	Syaf.g_00190
OG0000466	Syar.g_00164	Syaf.g_00194
OG0000467	Syar.g_00165	Syaf.g_00196
OG0000468	Syar.g_00170	Syaf.g_00206
OG0000469	Syar.g_00203	Syaf.g_00220
OG0000470	Syar.g_00206	Syaf.g_00222
OG0000471	Syar.g_00207	Syaf.g_00223
OG0000472	Syar.g_00208	Syaf.g_00225
OG0000473	Syar.g_00210	Syaf.g_00227
OG0000474	Syar.g_00211	Syaf.g_00228
OG0000475	Syar.g_00212	Syaf.g_00229
OG0000476	Syar.g_00214	Syaf.g_00231
OG0000477	Syar.g_00219	Syaf.g_00237
OG0000478	Syar.g_00220	Syaf.g_00238
OG0000479	Syar.g_00221	Syaf.g_00239
OG0000480	Syar.g_00228	Syaf.g_00247
OG0000481	Syar.g_00230	Syaf.g_00249
OG0000482	Syar.g_00231	Syaf.g_00250
OG0000483	Syar.g_00235	Syaf.g_00254
OG0000484	Syar.g_00236	Syaf.g_00255
OG0000485	Syar.g_00237	Syaf.g_00256
