Orthogroup	Syar	Prac
OG0000527	Syar.g_01271	Prac.g_01071
OG0000528	Syar.g_01466	Prac.g_01066
OG0000529	Syar.g_01470	Prac.g_01063
OG0000530	Syar.g_01473	Prac.g_01060
OG0000531	Syar.g_01474	Prac.g_01059
OG0000532	Syar.g_01477	Prac.g_01057
OG0000533	Syar.g_01479	Prac.g_01056
OG0000534	Syar.g_01480	Prac.g_01055
OG0000535	Syar.g_01481	Prac.g_01054
OG0000536	Syar.g_01482	Prac.g_01053
OG0000537	Syar.g_01483	Prac.g_01052
OG0000538	Syar.g_01496	Prac.g_00871
OG0000539	Syar.g_01497	Prac.g_00870
OG0000540	Syar.g_01498	Prac.g_00869
OG0000541	Syar.g_01499	Prac.g_00868
OG0000542	Syar.g_01502	Prac.g_00866
OG0000543	Syar.g_01504	Prac.g_00864
OG0000544	Syar.g_01505	Prac.g_00863
OG0000545	Syar.g_01507	Prac.g_00861
OG0000546	Syar.g_01509	Prac.g_00858
OG0000547	Syar.g_01511	Prac.g_00857
OG0000548	Syar.g_01512	Prac.g_00856
OG0000549	Syar.g_02693	Prac.g_00854
OG0000550	Syar.g_02689	Prac.g_00849
OG0000551	Syar.g_02684	Prac.g_00845
OG0000552	Syar.g_02683	Prac.g_00844
OG0000553	Syar.g_02679	Prac.g_00843
OG0000554	Syar.g_02352	Prac.g_00838
OG0000555	Syar.g_02336	Prac.g_00830
OG0000556	Syar.g_02332	Prac.g_00828
OG0000557	Syar.g_02328	Prac.g_00827
OG0000558	Syar.g_02326	Prac.g_00825
OG0000559	Syar.g_02322	Prac.g_00821
OG0000560	Syar.g_02320	Prac.g_00818
OG0000561	Syar.g_02319	Prac.g_00817
OG0000562	Syar.g_02318	Prac.g_00816
OG0000563	Syar.g_02317	Prac.g_00815
OG0000564	Syar.g_02316	Prac.g_00814
OG0000565	Syar.g_02312	Prac.g_00811
OG0000566	Syar.g_02308	Prac.g_00809
OG0000567	Syar.g_02304	Prac.g_00805
OG0000568	Syar.g_02302	Prac.g_00804
OG0000569	Syar.g_02301	Prac.g_00803
OG0000570	Syar.g_02300	Prac.g_00802
OG0000571	Syar.g_02298	Prac.g_00800
OG0000572	Syar.g_02201	Prac.g_00787
