Orthogroup	Syak	Prbc
OG0000472	Syak.g_01441	Prbc.g_01160
OG0000473	Syak.g_01443	Prbc.g_01162
OG0000474	Syak.g_01444	Prbc.g_01163
OG0000475	Syak.g_01445	Prbc.g_01164
OG0000476	Syak.g_01447	Prbc.g_01166
OG0000477	Syak.g_01453	Prbc.g_01168
OG0000478	Syak.g_01454	Prbc.g_01169
OG0000479	Syak.g_01455	Prbc.g_01170
OG0000480	Syak.g_01462	Prbc.g_01175
OG0000481	Syak.g_01464	Prbc.g_01177
OG0000482	Syak.g_01465	Prbc.g_01178
OG0000483	Syak.g_01469	Prbc.g_01181
OG0000484	Syak.g_01470	Prbc.g_01182
OG0000485	Syak.g_01472	Prbc.g_01183
OG0000486	Syak.g_01473	Prbc.g_01184
OG0000487	Syak.g_01479	Prbc.g_01187
OG0000488	Syak.g_01483	Prbc.g_01190
OG0000489	Syak.g_01499	Prbc.g_01195
OG0000490	Syak.g_01507	Prbc.g_01200
OG0000491	Syak.g_01511	Prbc.g_01201
OG0000492	Syak.g_01513	Prbc.g_01203
OG0000493	Syak.g_01514	Prbc.g_01204
OG0000494	Syak.g_01515	Prbc.g_01205
OG0000495	Syak.g_01516	Prbc.g_01206
OG0000496	Syak.g_01517	Prbc.g_01207
OG0000497	Syak.g_01518	Prbc.g_01208
OG0000498	Syak.g_01519	Prbc.g_01209
OG0000499	Syak.g_01520	Prbc.g_01210
OG0000500	Syak.g_01521	Prbc.g_01211
OG0000501	Syak.g_01524	Prbc.g_01213
OG0000502	Syak.g_01538	Prbc.g_01216
OG0000503	Syak.g_01246	Prbc.g_01246
OG0000504	Syak.g_01244	Prbc.g_01248
OG0000505	Syak.g_01243	Prbc.g_01249
OG0000506	Syak.g_01241	Prbc.g_01250
OG0000507	Syak.g_01235	Prbc.g_01253
OG0000508	Syak.g_01231	Prbc.g_01256
OG0000509	Syak.g_01229	Prbc.g_01258
OG0000510	Syak.g_01228	Prbc.g_01259
OG0000511	Syak.g_01227	Prbc.g_01260
OG0000512	Syak.g_01225	Prbc.g_01262
OG0000513	Syak.g_01211	Prbc.g_01271
OG0000514	Syak.g_01204	Prbc.g_01492
OG0000515	Syak.g_01203	Prbc.g_01493
OG0000516	Syak.g_01199	Prbc.g_01494
OG0000517	Syak.g_01192	Prbc.g_01496
OG0000518	Syak.g_01180	Prbc.g_01507
OG0000519	Syak.g_01179	Prbc.g_01508
OG0000520	Syak.g_01178	Prbc.g_01509
OG0000521	Syak.g_01167	Prbc.g_01514
OG0000522	Syak.g_01163	Prbc.g_01516
OG0000523	Syak.g_01162	Prbc.g_01517
OG0000524	Syak.g_01149	Prbc.g_01524
OG0000525	Syak.g_01130	Prbc.g_01528
OG0000526	Syak.g_01127	Prbc.g_01529
OG0000527	Syak.g_01120	Prbc.g_01532
OG0000528	Syak.g_02570	Prbc.g_01538
OG0000529	Syak.g_02575	Prbc.g_01541
OG0000530	Syak.g_02578	Prbc.g_01544
OG0000531	Syak.g_02579	Prbc.g_01545
OG0000532	Syak.g_02582	Prbc.g_01546
OG0000533	Syak.g_02584	Prbc.g_01547
OG0000534	Syak.g_02585	Prbc.g_01548
OG0000535	Syak.g_02586	Prbc.g_01549
OG0000536	Syak.g_02587	Prbc.g_01550
OG0000537	Syak.g_02588	Prbc.g_01551
OG0000538	Syak.g_02600	Prbc.g_01580
OG0000539	Syak.g_02601	Prbc.g_01581
OG0000540	Syak.g_02602	Prbc.g_01582
OG0000541	Syak.g_02603	Prbc.g_01583
OG0000542	Syak.g_02606	Prbc.g_01585
OG0000543	Syak.g_02608	Prbc.g_01587
OG0000544	Syak.g_02609	Prbc.g_01588
OG0000545	Syak.g_02611	Prbc.g_01590
OG0000546	Syak.g_02613	Prbc.g_01593
OG0000547	Syak.g_02615	Prbc.g_01595
OG0000548	Syak.g_02616	Prbc.g_01596
OG0000549	Syak.g_02622	Prbc.g_01599
OG0000550	Syak.g_02626	Prbc.g_01603
OG0000551	Syak.g_02631	Prbc.g_01606
OG0000552	Syak.g_02632	Prbc.g_01607
OG0000553	Syak.g_02636	Prbc.g_01608
