Orthogroup	Syat	Syak
OG0000569	Syat.g_00056	Syak.g_02691
OG0000570	Syat.g_00055	Syak.g_02692
OG0000571	Syat.g_00052	Syak.g_02696
OG0000572	Syat.g_00033	Syak.g_02713
OG0000573	Syat.g_00024	Syak.g_02723
OG0000574	Syat.g_00023	Syak.g_02724
OG0000575	Syat.g_00018	Syak.g_02729
OG0000576	Syat.g_00014	Syak.g_02731
OG0000577	Syat.g_00013	Syak.g_02732
OG0000578	Syat.g_00012	Syak.g_02733
OG0000579	Syat.g_00011	Syak.g_02734
OG0000580	Syat.g_00010	Syak.g_02735
OG0000581	Syat.g_00003	Syak.g_02742
OG0000582	Syat.g_03403	Syak.g_02748
OG0000583	Syat.g_03404	Syak.g_02749
OG0000584	Syat.g_03405	Syak.g_02750
OG0000585	Syat.g_03408	Syak.g_02753
