Orthogroup	Prar	Syaf
OG0000529	Prar.g_00531	Syaf.g_02720
OG0000530	Prar.g_00534	Syaf.g_02717
OG0000531	Prar.g_00535	Syaf.g_02716
OG0000532	Prar.g_00537	Syaf.g_02713
OG0000533	Prar.g_00538	Syaf.g_02712
OG0000534	Prar.g_00539	Syaf.g_02711
OG0000535	Prar.g_00540	Syaf.g_02710
OG0000536	Prar.g_00541	Syaf.g_02709
OG0000537	Prar.g_00542	Syaf.g_02708
OG0000538	Prar.g_01331	Syaf.g_02697
OG0000539	Prar.g_01332	Syaf.g_02696
OG0000540	Prar.g_01333	Syaf.g_02695
OG0000541	Prar.g_01334	Syaf.g_02694
OG0000542	Prar.g_01336	Syaf.g_02691
OG0000543	Prar.g_01338	Syaf.g_02689
OG0000544	Prar.g_01339	Syaf.g_02688
OG0000545	Prar.g_01341	Syaf.g_02686
OG0000546	Prar.g_01344	Syaf.g_02684
OG0000547	Prar.g_01345	Syaf.g_02682
OG0000548	Prar.g_01346	Syaf.g_02681
OG0000549	Prar.g_01348	Syaf.g_02676
OG0000550	Prar.g_01353	Syaf.g_02671
OG0000551	Prar.g_01357	Syaf.g_02666
OG0000552	Prar.g_01358	Syaf.g_02665
OG0000553	Prar.g_01359	Syaf.g_02663
OG0000554	Prar.g_01364	Syaf.g_02653
OG0000555	Prar.g_01372	Syaf.g_02635
OG0000556	Prar.g_01374	Syaf.g_02630
OG0000557	Prar.g_01375	Syaf.g_02628
OG0000558	Prar.g_01377	Syaf.g_02626
OG0000559	Prar.g_01381	Syaf.g_02622
OG0000560	Prar.g_01384	Syaf.g_02619
OG0000561	Prar.g_01385	Syaf.g_02618
OG0000562	Prar.g_01386	Syaf.g_02617
OG0000563	Prar.g_01387	Syaf.g_02616
OG0000564	Prar.g_01388	Syaf.g_02615
OG0000565	Prar.g_01391	Syaf.g_02612
OG0000566	Prar.g_01393	Syaf.g_02608
OG0000567	Prar.g_01397	Syaf.g_02604
OG0000568	Prar.g_01398	Syaf.g_02599
OG0000569	Prar.g_01399	Syaf.g_02596
