Orthogroup	Syai	Prau
OG0000506	Syai.g_00491	Prau.g_00340
OG0000507	Syai.g_00497	Prau.g_00343
OG0000508	Syai.g_00501	Prau.g_00347
OG0000509	Syai.g_00503	Prau.g_00349
OG0000510	Syai.g_00504	Prau.g_00350
OG0000511	Syai.g_00505	Prau.g_00351
OG0000512	Syai.g_00507	Prau.g_00353
OG0000513	Syai.g_00521	Prau.g_00360
OG0000514	Syai.g_00528	Prau.g_00472
OG0000515	Syai.g_00529	Prau.g_00473
OG0000516	Syai.g_02223	Prau.g_00474
OG0000517	Syai.g_02229	Prau.g_00476
OG0000518	Syai.g_02211	Prau.g_00487
OG0000519	Syai.g_02210	Prau.g_00488
OG0000520	Syai.g_02209	Prau.g_00489
OG0000521	Syai.g_00842	Prau.g_00494
OG0000522	Syai.g_00844	Prau.g_00496
OG0000523	Syai.g_00845	Prau.g_00497
OG0000524	Syai.g_00852	Prau.g_00503
OG0000525	Syai.g_00856	Prau.g_00506
OG0000526	Syai.g_00859	Prau.g_00507
OG0000527	Syai.g_00863	Prau.g_00514
OG0000528	Syai.g_00633	Prau.g_00519
OG0000529	Syai.g_00639	Prau.g_00522
OG0000530	Syai.g_00642	Prau.g_00525
OG0000531	Syai.g_00643	Prau.g_00526
OG0000532	Syai.g_00646	Prau.g_00528
OG0000533	Syai.g_00647	Prau.g_00529
OG0000534	Syai.g_00648	Prau.g_00530
OG0000535	Syai.g_00649	Prau.g_00531
OG0000536	Syai.g_00650	Prau.g_00532
OG0000537	Syai.g_00651	Prau.g_00533
OG0000538	Syai.g_00662	Prau.g_00541
OG0000539	Syai.g_00663	Prau.g_00542
OG0000540	Syai.g_00664	Prau.g_00543
OG0000541	Syai.g_00665	Prau.g_00544
OG0000542	Syai.g_00668	Prau.g_00546
OG0000543	Syai.g_00670	Prau.g_00548
OG0000544	Syai.g_00671	Prau.g_00549
OG0000545	Syai.g_00673	Prau.g_00551
OG0000546	Syai.g_00675	Prau.g_00554
OG0000547	Syai.g_00677	Prau.g_00556
OG0000548	Syai.g_00678	Prau.g_00557
OG0000549	Syai.g_00684	Prau.g_00559
OG0000550	Syai.g_00689	Prau.g_00564
OG0000551	Syai.g_00694	Prau.g_00567
OG0000552	Syai.g_00695	Prau.g_00568
OG0000553	Syai.g_00698	Prau.g_00569
OG0000554	Syai.g_00708	Prau.g_00574
OG0000555	Syai.g_00725	Prau.g_00582
OG0000556	Syai.g_00728	Prau.g_00584
OG0000557	Syai.g_00730	Prau.g_00585
OG0000558	Syai.g_00732	Prau.g_00587
OG0000559	Syai.g_00736	Prau.g_00591
OG0000560	Syai.g_00739	Prau.g_00594
OG0000561	Syai.g_00740	Prau.g_00595
OG0000562	Syai.g_00741	Prau.g_00596
OG0000563	Syai.g_00742	Prau.g_00597
OG0000564	Syai.g_00743	Prau.g_00598
OG0000565	Syai.g_00746	Prau.g_00601
OG0000566	Syai.g_00750	Prau.g_00603
OG0000567	Syai.g_00754	Prau.g_00607
OG0000568	Syai.g_00758	Prau.g_00608
OG0000569	Syai.g_00759	Prau.g_00609
OG0000570	Syai.g_00760	Prau.g_00610
OG0000571	Syai.g_00764	Prau.g_00612
OG0000572	Syai.g_00782	Prau.g_00625
OG0000573	Syai.g_00790	Prau.g_00630
